Unnamed: 0,Sleep_Time,Wakeup_Time,Breakfast_Type,Meditation_Exercise_Minutes,Mood,Resting_Heart_Rate,Step_Count,HRV,Temperature_Celsius,Humidity_Percent
662,10.35,7.5,Carb-rich,55,Happy,75,4217,97.27714196650793,25.14437048392218,76.83153091463171
263,10.35,4.5,Carb-rich,60,Neutral,75,6494,108.25598767723471,22.958241309093417,74.61049537749646
773,10.35,9.75,Carb-rich,60,Happy,61,2205,93.88666771330328,19.93218226400918,78.35552400705727
100,10.35,4.0,Skipped,20,Sad,84,9980,47.080632803697256,10.785729642168356,41.10797573031718
443,10.35,9.25,Carb-rich,35,Sad,79,5607,79.93021161394378,19.26605367667227,73.63014418597848
490,10.35,5.75,Carb-rich,30,Sad,64,3461,53.52790500782957,21.391418819642823,44.16302780078784
629,10.35,6.0,Heavy,70,Sad,82,11077,119.95577032504386,16.31092360860052,62.34967660051527
872,10.35,5.25,Heavy,25,Sad,74,2451,87.74380712282945,26.0999885809754,83.52508133641406
644,10.35,9.5,Skipped,75,Neutral,66,10199,75.11599619163721,12.99405329548128,87.77561251425479
169,10.35,9.75,Protein-rich,40,Sad,75,9597,98.92928483196856,24.772323579706047,47.2343394992449
179,10.35,8.75,Heavy,40,Sad,74,4169,59.27307432714162,13.438023603649832,86.99767103701352
304,10.35,6.0,Skipped,65,Happy,59,2276,98.19599771579593,28.15228334306654,59.31859142427994
341,10.35,5.25,Heavy,70,Neutral,58,5655,47.19460394184488,21.836794269514144,76.59581116750451
866,10.35,5.5,Light,30,Sad,83,5663,111.64205445320664,13.881006148267812,74.24142464326798
149,10.35,7.5,Light,80,Sad,59,3829,60.967105337599264,16.966161605915286,31.27616465102323
124,10.35,6.25,Carb-rich,70,Neutral,74,5243,46.88535143821935,15.698379063548542,86.65598934680604
707,10.35,7.5,Skipped,30,Sad,79,3913,29.236052811137853,30.24686114636588,78.0213904693417
50,10.35,8.0,Heavy,85,Happy,58,8588,90.66298698787097,34.239615694113965,66.0310116260192
353,10.35,5.25,Light,55,Sad,76,9913,86.19689447938686,14.073360677035742,37.51114753215303
829,10.35,6.5,Light,50,Happy,68,4230,26.84504525660168,21.30544852224518,66.91316629386066
142,10.35,5.5,Light,50,Happy,77,7906,50.104607783431305,22.43121264730964,49.12515017592419
470,10.35,4.0,Carb-rich,55,Happy,56,6072,28.456537809723784,10.30386186724541,88.28370564249838
399,10.35,7.0,Light,90,Neutral,55,8919,21.438144607208503,28.86357185211705,72.38854358921407
668,10.35,4.25,Carb-rich,60,Happy,69,6444,26.616518883444044,14.664175601282643,67.43155948059439
320,10.35,7.75,Carb-rich,15,Sad,81,2024,108.912792394001,23.73066661765301,87.05181373502462
19,10.35,6.5,Carb-rich,40,Sad,84,6976,71.8700994380595,17.28072850495105,38.40679054598715
728,10.35,5.5,Carb-rich,45,Happy,72,8696,60.24062592993117,15.040683001193614,35.800586978803175
711,10.35,9.25,Heavy,30,Neutral,75,4780,116.80763814507335,24.890968515196107,69.05264214283164
758,10.35,4.75,Protein-rich,15,Neutral,60,6307,85.70304982341074,32.347314576273945,53.818891024457
407,10.35,9.25,Protein-rich,70,Happy,74,7086,82.46140481145315,10.270941287007458,78.10368498418751
861,10.35,6.5,Heavy,35,Sad,69,2999,93.1486359703116,21.332220868700688,80.66142496437695
38,10.35,6.75,Light,20,Happy,84,5112,27.55836138540669,27.105825662803923,37.06506497340847
175,10.35,6.5,Heavy,60,Sad,63,2910,70.56341534219588,14.359160725124786,55.66638802415174
245,10.35,8.75,Skipped,60,Neutral,78,11702,26.90459063145997,33.20796406469313,82.71779918130949
745,10.35,7.75,Heavy,90,Happy,84,6958,49.99420697770226,32.48936433186421,75.31622522980848
605,10.35,7.75,Protein-rich,80,Sad,84,8589,46.32473465180112,21.519469200818143,53.92936685381403
678,10.35,7.25,Light,30,Sad,66,10858,113.32050877593062,34.236760831884226,66.42564216532685
876,10.35,6.75,Light,60,Happy,58,6408,34.643625660281614,27.899305721184938,71.28808236519254
154,10.35,9.25,Carb-rich,70,Happy,70,11655,27.049194564314465,34.641261352765014,89.87604663200025
287,10.35,6.0,Heavy,10,Neutral,71,7442,26.8713677723961,23.56611586768941,34.07022354631032
543,10.35,9.0,Skipped,40,Sad,66,5718,61.860727491833,26.792517110146417,56.62501315827427
17,10.35,9.75,Protein-rich,10,Sad,59,7093,118.0368740942185,23.11891079080595,86.9071984177294
127,10.35,4.0,Protein-rich,40,Sad,69,5134,86.64630475268358,31.518264581408587,80.67296391210422
322,10.35,5.25,Heavy,20,Neutral,73,8144,83.23913243283874,26.50493441794328,55.940088062556114
255,10.35,4.75,Light,90,Happy,73,8963,102.13883629006943,23.92003156145876,75.16299837345846
595,10.35,4.25,Heavy,65,Neutral,66,4295,28.70172183027888,21.84904100657181,70.09276791330097
864,10.35,7.0,Carb-rich,50,Sad,80,10850,108.61817721293453,20.01907652188315,39.00291988163906
190,10.35,7.75,Carb-rich,30,Happy,79,10988,36.03654061197432,12.32756919514748,86.56390644810753
115,10.35,7.5,Protein-rich,25,Neutral,76,4658,81.67836078525411,31.78651475469294,85.51489904493995
720,10.35,9.75,Carb-rich,50,Sad,66,9812,110.43597749938571,33.458511420525944,57.91233673702309
180,10.35,9.75,Skipped,40,Happy,58,4172,75.33711897497719,18.52665877625646,77.18070086493313
301,10.35,7.25,Skipped,0,Happy,63,5637,26.646332577627213,23.283865789203706,31.47521498752809
691,10.35,6.75,Carb-rich,15,Happy,62,5674,91.60499732421444,20.635910965410417,89.4753596221313
750,10.35,4.5,Carb-rich,65,Sad,81,2824,74.66956820721302,12.922451017709102,32.169622831485725
653,10.35,9.75,Protein-rich,80,Sad,84,4468,31.159299995724748,28.635986854608248,83.05238780090447
716,10.35,6.25,Skipped,40,Sad,68,3132,86.19136326370115,30.765485194693227,89.64836167327005
599,10.35,8.75,Protein-rich,70,Happy,70,4783,37.51231401303532,11.021715406661972,81.80001897430952
517,10.35,7.0,Carb-rich,35,Happy,80,10931,55.53197484738877,30.263833269545824,37.32659484060161
883,10.35,8.5,Heavy,60,Neutral,66,6559,45.11692675484013,12.602714549614346,68.23208860849682
45,10.35,8.0,Heavy,20,Happy,77,5629,46.74020278575413,26.56305710884955,30.659749719508827
813,10.35,9.0,Carb-rich,55,Happy,63,5489,58.46110759787682,33.02104706543431,57.588025426159206
157,10.35,5.5,Skipped,25,Happy,66,3900,108.1690611843508,29.04049038321794,54.11585481655453
669,10.35,6.5,Protein-rich,50,Neutral,72,9618,21.91554855512529,17.127379217346178,57.10606072423374
171,10.35,6.75,Carb-rich,45,Sad,61,8591,111.37884438732593,10.414695723196404,44.0164650629946
16,10.35,7.0,Carb-rich,5,Neutral,80,6796,63.2018927594506,17.60605607398844,47.66794557251506
511,10.35,9.5,Skipped,5,Happy,81,4158,99.82931972091866,20.456075907265472,36.71517716386367
48,10.35,4.0,Heavy,80,Happy,64,8132,45.08930456911025,23.66775698358199,82.43340465375091
870,10.35,9.5,Heavy,55,Happy,73,5731,95.2397882303788,19.332732906993822,57.5668061043592
754,10.35,8.75,Skipped,85,Sad,62,3380,85.8661354939767,13.481801816584682,35.25856480583031
515,10.35,5.5,Carb-rich,40,Neutral,80,6979,32.96789782242354,10.6591743624313,86.19634153769769
620,10.35,6.25,Heavy,10,Sad,79,4743,43.81466536656963,14.613025483909432,33.61604341737365
480,10.35,6.75,Skipped,35,Happy,83,10353,48.6519548927123,25.73496595338156,39.81143235510137
283,10.35,4.75,Protein-rich,35,Happy,82,10016,52.11621526359535,12.349548496021724,85.92168633060105
824,10.35,4.5,Skipped,45,Happy,70,9742,36.12188119751225,23.43489007344808,71.52968050164792
225,10.35,8.0,Light,55,Sad,82,5835,37.16939077054496,16.09974108447709,63.05144223654836
26,10.35,4.25,Heavy,10,Happy,82,5828,62.272863689393226,14.991844553958996,46.12064156309677
703,10.35,9.5,Heavy,25,Neutral,77,5699,38.57330720051856,13.360366923474356,51.29977834991624
437,10.35,9.5,Protein-rich,35,Neutral,63,3948,89.08839765508228,30.546501482258904,70.81369454587748
851,10.35,6.5,Carb-rich,85,Happy,62,5922,38.17788672173619,28.74901175997945,42.91211232103425
364,10.35,4.0,Skipped,70,Happy,84,6727,23.367640387446404,33.53662021941313,30.69723239448604
229,10.35,8.25,Carb-rich,55,Happy,71,8905,83.14189212183764,25.77846564993157,45.58522702561957
37,10.35,4.5,Protein-rich,70,Happy,58,2182,27.69794670649663,12.441802850159595,84.85792839362995
865,10.35,9.5,Protein-rich,70,Neutral,74,4763,113.43041141674902,23.991008282705447,49.4805556134036
374,10.35,8.75,Heavy,15,Neutral,82,2436,110.09608956904678,11.779716211505724,58.83041683546973
469,10.35,7.0,Skipped,70,Neutral,59,7574,62.33351441531975,34.08056348601528,44.25259949543266
867,10.35,4.75,Light,55,Neutral,76,6986,83.541435686191,14.548203262381778,58.56108776212599
793,10.35,9.5,Light,70,Neutral,63,2152,81.39703063252327,25.2863558858662,38.782439529734944
655,10.35,7.0,Skipped,35,Sad,70,5619,48.10497501668891,13.189507569889097,42.7226903944936
194,10.35,7.0,Carb-rich,60,Sad,74,5807,42.95981607539687,18.47574477621752,43.84018870306552
765,10.35,8.25,Carb-rich,45,Happy,73,6082,30.445451810015136,24.24724212178291,81.08549746470575
774,10.35,9.0,Carb-rich,60,Sad,68,9352,23.24434460471869,29.93238414448884,77.40182617842368
503,10.35,9.25,Carb-rich,70,Sad,78,3815,30.09781068177611,30.344875492673715,74.18412090393844
869,10.35,5.5,Light,40,Sad,75,9256,60.32106331838228,33.65288655334082,53.66857671420212
746,10.35,8.0,Heavy,35,Neutral,57,10445,79.6081955238306,19.597280534330284,37.66280901811409
579,10.35,5.75,Heavy,35,Happy,82,5483,86.1667259629189,16.45610970747396,56.13499888877598
868,10.35,9.25,Carb-rich,55,Sad,62,3481,82.98206544347076,31.544640525337933,52.553297108746165
162,10.35,6.5,Protein-rich,20,Happy,62,5415,50.9806875322469,25.838242769022365,76.0964048318711
